Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Hladno valjavec;hladno valjavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Hortikultura;inženir hortikulture;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0812";Hortikultura;Horticulture;
Hortikultura;magister inženir hortikulture;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0812";Hortikultura;Horticulture;
Hortikulturni tehnik;hortikulturni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0812";Hortikultura;Horticulture;
Hotelirstvo in turizem;diplomirani organizator turizma;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Hotelirstvo in turizem;diplomirani organizator v hotelirstvu in turizmu (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Hotelirstvo in turizem;inženir hotelirstva;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Hotelirstvo in turizem;turistični organizator;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1015";Potovanja, turizem, prosti čas;Travel, tourism and leisure;
Hotelski tehnik;hotelski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Hotelski vratar;hotelski vratar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Hotelski vratar (USO II);hotelski vratar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Humanistične znanosti;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Humanistične znanosti;magister humanističnih znanosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Humanistični študiji;diplomant humanističnih študijev (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Humanistika;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Humanistika in družboslovje;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Hungaristične študije;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Industrijska farmacija;magister industrijske farmacije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0711";Kemijsko inženirstvo in procesi;Chemical engineering and processes;
Industrijski klepar;industrijski klepar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Industrijsko in unikatno oblikovanje;diplomirani industrijski in unikatni oblikovalec (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Industrijsko in unikatno oblikovanje;magister industrijskega in unikatnega oblikovanja [smer Industrijsko oblikovanje/smer Oblikovanje stekla in keramike];;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Industrijsko oblikovanje;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Industrijsko oblikovanje;specialist za oblikovanje;;18101;Specialistično izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Informacijska družba;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Informacijska varnost;diplomirani varstvoslovec informacijskih varnosti (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0688";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno informacijske in komunikacijske tehnologije (IKT);Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs);
Informacijska varnost;specialist informacijske varnosti;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="1032";Varnost, varovanje, zaščita in reševanje;Protection of persons and property;
Informacijska znanost z bibliotekarstvom;magister informacijskih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Informacijske in komunikacijske tehnologije;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Informacijske in komunikacijske tehnologije;magister informacijskih in komunikacijskih tehnologij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Informacijske tehnologije v gradbeništvu (ITG);magister inženir informacijskih tehologij v gradbeništvu;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Informacijski sistemi in odločanje;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Informacijski sistemi in odločanje;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Informacijsko upravljalske vede;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0410";Poslovne in upravne vede, podrobneje neopredeljeno;Business and administration not further defined;
Informacijsko upravljalske vede;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0410";Poslovne in upravne vede, podrobneje neopredeljeno;Business and administration not further defined;
Informatika;inženir informatike;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Informatika in tehnologije komuniciranja;diplomirani inženir informatike in tehnologij komuniciranja (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
