Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Državne študije;specialist državnih študij;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Duhovna teologija;specialist duhovne teologije;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0221";Religija in teologija;Religion and theology;
Duševno zdravje v skupnosti;magister socialnega dela;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0923";Socialno delo in svetovanje;Social work and counselling;
Duševno zdravje v skupnosti;specialist;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0923";Socialno delo in svetovanje;Social work and counselling;
Dvopredmetni uèitelj;profesor predmeta A in predmeta B (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Edukacija in menedžment v zdravstvu;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Edukacijske politike;magister edukacijskih politik;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Edukacijske vede;doktor znanosti;UM PEF;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Edukacijske vede;doktor znanosti;UP PEF;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0188";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno izobraževalne znanosti in izobraževanje uèiteljev;Inter-disciplinary programmes and qualifications involving education;
Edukacijske vede;profesor edukacijskih ved (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Ekologija in biodiverziteta;magister ekologije in biodiverzitete;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0521";Okoljske znanosti;Environmental sciences;
Ekologija z naravovarstvom;diplomirani ekolog naravovarstvenik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0521";Okoljske znanosti;Environmental sciences;
Ekološke znanosti;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0521";Okoljske znanosti;Environmental sciences;
Ekološko kmetijstvo;diplomirani inženir ekološkega kmetijstva (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Ekonomija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0311";Ekonomija;Economics;
Ekonomija;ekonomist;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0311";Ekonomija;Economics;
Ekonomija;ekonomist;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Ekonomija;magister ekonomskih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0311";Ekonomija;Economics;
Ekonomija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0311";Ekonomija;Economics;
Ekonomija;univerzitetni diplomirani ekonomist;UL EF;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0311";Ekonomija;Economics;
Ekonomija;univerzitetni diplomirani ekonomist;UM EPF;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Ekonomija in finance;magister ekonomije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0311";Ekonomija;Economics;
Ekonomija in poslovne vede;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0311";Ekonomija;Economics;
Ekonomija in poslovne vede;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Ekonomija v sodobni družbi;diplomirani ekonomist (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Ekonomija za management;magister ekonomije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0311";Ekonomija;Economics;
Ekonomika in tehnike konservatorstva arhitekturne in krajinske dedišèine;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Ekonomika in vodenje proizvodnih in tehnoloških sistemov;diplomirani gospodarski inženir;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Ekonomika naravnih virov;magister ekonomike naravnih virov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Ekonomist;ekonomist;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Ekonomska analiza in ekonomska politika;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0421";Pravo;Law;
Ekonomska analiza in ekonomska politika;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0421";Pravo;Law;
Ekonomska gimnazija;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Ekonomske in poslovne vede;diplomirani ekonomist (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Ekonomske in poslovne vede;doktor znanosti;UL EF;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0311";Ekonomija;Economics;
Ekonomske in poslovne vede;doktor znanosti;UM EPF;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Ekonomske in poslovne vede;magister ekonomskih in poslovnih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Ekonomski tehnik;ekonomski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
